"readcounts.AAACAT"	"readcounts.AAATCA"	"readcounts.AACATA"	"readcounts.AAGTTA"	"readcounts.AATATG"	"readcounts.AATGTA"	"readcounts.AATTTC"	"readcounts.ACCCGG"	"readcounts.ACGCGC"	"readcounts.ACTAAA"	"readcounts.AGAATT"	"readcounts.AGCCGC"	"readcounts.AGGCGG"	"readcounts.AGTATA"	"readcounts.ATAAGT"	"readcounts.ATAGAT"	"readcounts.ATATGA"	"readcounts.ATCGAG"	"readcounts.ATCTAT"	"readcounts.ATGTAA"	"readcounts.ATTATC"	"readcounts.ATTGTT"	"readcounts.ATTTTG"	"readcounts.CACCGG"	"readcounts.CAGCGC"	"readcounts.CATAAA"	"readcounts.CATCAG"	"readcounts.CCACGC"	"readcounts.CCCCAC"	"readcounts.CCCGAG"	"readcounts.CCGCAG"	"readcounts.CCGGGT"	"readcounts.CCTCGG"	"readcounts.CGACGG"	"readcounts.CGACTT"	"readcounts.CGCAGG"	"readcounts.CGCCTC"	"readcounts.CGCGTG"	"readcounts.CGGAGC"	"readcounts.CGGCTG"	"readcounts.CGGGTC"	"readcounts.CGTCGC"	"readcounts.CTAAAA"	"readcounts.CTCCGC"	"readcounts.CTCTCC"	"readcounts.CTGGGC"	"readcounts.CTTAAT"	"readcounts.GAAGAC"	"readcounts.GAATAT"	"readcounts.GACGGG"	"readcounts.GAGGGC"	"readcounts.GATTAA"	"readcounts.GCAGGC"	"readcounts.GCCCCT"	"readcounts.GCCGCA"	"readcounts.GCCTGC"	"readcounts.GCGCCA"	"readcounts.GCGGCT"	"readcounts.GCGTGG"	"readcounts.GCTGGG"	"readcounts.GGACAT"	"readcounts.GGCACG"	"readcounts.GGCGCT"	"readcounts.GGGACC"	"readcounts.GGGCGA"	"readcounts.GGGGGT"	"readcounts.GGTCCC"	"readcounts.GTCAAG"	"readcounts.GTCGCG"	"readcounts.GTGGGG"	"readcounts.GTTAAA"	"readcounts.TAAAAC"	"readcounts.TAACAA"	"readcounts.TAATAG"	"readcounts.TACAAA"	"readcounts.TAGAAT"	"readcounts.TATAAG"	"readcounts.TATCAT"	"readcounts.TATTAC"	"readcounts.TCAAAA"	"readcounts.TCCAAC"	"readcounts.TCGCGG"	"readcounts.TCTAAT"	"readcounts.TGAATA"	"readcounts.TGCGCG"	"readcounts.TGGGCC"	"readcounts.TGTATT"	"readcounts.TTAACT"	"readcounts.TTACTA"	"readcounts.TTATCA"	"readcounts.TTCATA"	"readcounts.TTGGAT"	"readcounts.TTGTCC"	"readcounts.TTGTTA"	"readcounts.TTTATG"	"readcounts.TTTTAG"
"ENSG00000000003"	0	0	1	0	0	0	2	0	1	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
"ENSG00000000419"	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000000457"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0
"ENSG00000001036"	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
"ENSG00000001084"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000001167"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001461"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001497"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001561"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001629"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
