"umicounts.AAACAT"	"umicounts.AAATCA"	"umicounts.AACATA"	"umicounts.AAGTTA"	"umicounts.AATATG"	"umicounts.AATGTA"	"umicounts.AATTTC"	"umicounts.ACCCGG"	"umicounts.ACGCGC"	"umicounts.ACTAAA"	"umicounts.AGAATT"	"umicounts.AGCCGC"	"umicounts.AGGCGG"	"umicounts.AGTATA"	"umicounts.ATAAGT"	"umicounts.ATAGAT"	"umicounts.ATATGA"	"umicounts.ATCGAG"	"umicounts.ATCTAT"	"umicounts.ATGTAA"	"umicounts.ATTATC"	"umicounts.ATTGTT"	"umicounts.ATTTTG"	"umicounts.CACCGG"	"umicounts.CAGCGC"	"umicounts.CATAAA"	"umicounts.CATCAG"	"umicounts.CCACGC"	"umicounts.CCCCAC"	"umicounts.CCCGAG"	"umicounts.CCGCAG"	"umicounts.CCGGGT"	"umicounts.CCTCGG"	"umicounts.CGACGG"	"umicounts.CGACTT"	"umicounts.CGCAGG"	"umicounts.CGCCTC"	"umicounts.CGCGTG"	"umicounts.CGGAGC"	"umicounts.CGGCTG"	"umicounts.CGGGTC"	"umicounts.CGTCGC"	"umicounts.CTAAAA"	"umicounts.CTCCGC"	"umicounts.CTCTCC"	"umicounts.CTGGGC"	"umicounts.CTTAAT"	"umicounts.GAAGAC"	"umicounts.GAATAT"	"umicounts.GACGGG"	"umicounts.GAGGGC"	"umicounts.GATTAA"	"umicounts.GCAGGC"	"umicounts.GCCCCT"	"umicounts.GCCGCA"	"umicounts.GCCTGC"	"umicounts.GCGCCA"	"umicounts.GCGGCT"	"umicounts.GCGTGG"	"umicounts.GCTGGG"	"umicounts.GGACAT"	"umicounts.GGCACG"	"umicounts.GGCGCT"	"umicounts.GGGACC"	"umicounts.GGGCGA"	"umicounts.GGGGGT"	"umicounts.GGTCCC"	"umicounts.GTCAAG"	"umicounts.GTCGCG"	"umicounts.GTGGGG"	"umicounts.GTTAAA"	"umicounts.TAAAAC"	"umicounts.TAACAA"	"umicounts.TAATAG"	"umicounts.TACAAA"	"umicounts.TAGAAT"	"umicounts.TATAAG"	"umicounts.TATCAT"	"umicounts.TATTAC"	"umicounts.TCAAAA"	"umicounts.TCCAAC"	"umicounts.TCGCGG"	"umicounts.TCTAAT"	"umicounts.TGAATA"	"umicounts.TGCGCG"	"umicounts.TGGGCC"	"umicounts.TGTATT"	"umicounts.TTAACT"	"umicounts.TTACTA"	"umicounts.TTATCA"	"umicounts.TTCATA"	"umicounts.TTGGAT"	"umicounts.TTGTCC"	"umicounts.TTGTTA"	"umicounts.TTTATG"	"umicounts.TTTTAG"
"ENSG00000000938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000971"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"ENSG00000001626"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002330"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002919"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004468"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000004776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004846"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
"ENSG00000004848"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
