"readcounts.AAACAT"	"readcounts.AAATCA"	"readcounts.AACATA"	"readcounts.AAGTTA"	"readcounts.AATATG"	"readcounts.AATTTC"	"readcounts.ACCCGG"	"readcounts.ACGCGC"	"readcounts.ACTAAA"	"readcounts.AGAATT"	"readcounts.AGCCGC"	"readcounts.AGGCGG"	"readcounts.AGTATA"	"readcounts.ATAAGT"	"readcounts.ATAGAT"	"readcounts.ATATGA"	"readcounts.ATCGAG"	"readcounts.ATCTAT"	"readcounts.ATGTAA"	"readcounts.ATTATC"	"readcounts.ATTGTT"	"readcounts.ATTTTG"	"readcounts.CACCGG"	"readcounts.CAGCGC"	"readcounts.CATAAA"	"readcounts.CATCAG"	"readcounts.CCACGC"	"readcounts.CCCCAC"	"readcounts.CCCGAG"	"readcounts.CCGCAG"	"readcounts.CCGGGT"	"readcounts.CCTCGG"	"readcounts.CGACGG"	"readcounts.CGACTT"	"readcounts.CGCAGG"	"readcounts.CGCCTC"	"readcounts.CGCGTG"	"readcounts.CGGAGC"	"readcounts.CGGCTG"	"readcounts.CGGGTC"	"readcounts.CGTCGC"	"readcounts.CTAAAA"	"readcounts.CTCCGC"	"readcounts.CTCTCC"	"readcounts.CTGGGC"	"readcounts.CTTAAT"	"readcounts.GAAGAC"	"readcounts.GAATAT"	"readcounts.GACGGG"	"readcounts.GAGGGC"	"readcounts.GATTAA"	"readcounts.GCAGGC"	"readcounts.GCCCCT"	"readcounts.GCCGCA"	"readcounts.GCCTGC"	"readcounts.GCGCCA"	"readcounts.GCGGCT"	"readcounts.GCGTGG"	"readcounts.GCTGGG"	"readcounts.GGACAT"	"readcounts.GGCACG"	"readcounts.GGCGCT"	"readcounts.GGGACC"	"readcounts.GGGCGA"	"readcounts.GGGGGT"	"readcounts.GGTCCC"	"readcounts.GTCAAG"	"readcounts.GTCGCG"	"readcounts.GTGGGG"	"readcounts.GTTAAA"	"readcounts.TAAAAC"	"readcounts.TAACAA"	"readcounts.TAATAG"	"readcounts.TACAAA"	"readcounts.TAGAAT"	"readcounts.TATAAG"	"readcounts.TATCAT"	"readcounts.TATTAC"	"readcounts.TCAAAA"	"readcounts.TCCAAC"	"readcounts.TCGCGG"	"readcounts.TCTAAT"	"readcounts.TGAATA"	"readcounts.TGCGCG"	"readcounts.TGGGCC"	"readcounts.TGTATT"	"readcounts.TTAACT"	"readcounts.TTACTA"	"readcounts.TTATCA"	"readcounts.TTCATA"	"readcounts.TTGGAT"	"readcounts.TTGTCC"	"readcounts.TTGTTA"	"readcounts.TTTTAG"
"ENSG00000008735"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000015475"	0	4	0	0	0	3	0	0	0	1	0	4	2	1	0	2	3	3	2	1	4	1	0	3	0	0	2	2	1	0	3	0	0	1	0	0	1	2	0	1	2	1	5	0	0	1	0	2	1	0	0	1	0	0	3	1	0	2	2	0	3	1	0	0	0	0	0	0	0	1	0	0	1	4	0	1	4	0	2	0	2	2	0	3	0	2	0	4	0	6	0	0	1	1
"ENSG00000025708"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000025770"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	0	2	1	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	0	4	0	0	2	3	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	1	0	0	1	1	0	0	0	0	0	0	4	2	0	0	0	0
"ENSG00000040608"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000054611"	0	14	0	19	2	4	0	10	3	7	0	14	11	2	3	10	14	16	13	6	11	6	0	14	9	7	4	8	9	2	17	2	3	4	9	2	2	12	0	6	4	10	16	7	4	8	11	11	3	2	11	13	0	4	23	13	5	2	9	6	22	2	1	0	1	2	5	0	0	9	3	1	9	20	8	15	15	1	5	0	5	5	0	1	3	3	1	14	18	19	0	6	8	8
"ENSG00000056487"	0	3	0	2	0	1	0	1	1	1	0	6	4	1	0	3	7	4	9	1	4	2	0	2	3	3	0	3	2	1	5	0	2	2	2	0	1	3	0	0	0	0	5	0	3	0	2	3	0	0	2	4	0	0	6	2	1	0	1	2	2	3	0	0	1	0	1	0	0	1	1	0	6	4	1	2	4	0	1	0	1	1	0	1	0	3	0	3	1	2	0	0	2	0
"ENSG00000069998"	0	0	0	0	0	0	0	1	2	1	0	4	0	0	0	1	1	3	1	2	1	0	0	2	0	0	1	3	1	1	2	0	1	0	1	1	3	2	0	0	2	0	2	0	0	3	1	3	0	0	0	1	0	1	1	4	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	2	0	0	1	0	0	0	2	0	0	4	4	0	0	0	0
"ENSG00000070010"	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	2	2	0	2	3	0	6	1	0	0	1	0	1	2	0	1	2	1	1	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	1	4	1	0	0	0	0	0	0	0	0	0	0	2	3	1	3	1	1	0	0	1	3	0	1	0	0	0	2	0	2	0	1	1	0
"ENSG00000070371"	0	9	1	8	5	4	1	4	5	3	0	4	5	4	0	6	5	10	12	3	9	17	0	9	10	9	9	4	6	3	10	3	1	2	6	8	6	9	1	1	6	6	8	3	5	6	13	7	5	1	2	8	0	2	6	14	3	3	5	1	7	4	4	0	4	0	4	0	0	5	1	0	8	7	2	11	10	3	5	0	7	2	1	3	1	9	0	11	11	8	0	3	5	3
