"readcounts.AAACAT"	"readcounts.AAATCA"	"readcounts.AACATA"	"readcounts.AAGTTA"	"readcounts.AATATG"	"readcounts.AATTTC"	"readcounts.ACCCGG"	"readcounts.ACGCGC"	"readcounts.ACTAAA"	"readcounts.AGAATT"	"readcounts.AGCCGC"	"readcounts.AGGCGG"	"readcounts.AGTATA"	"readcounts.ATAAGT"	"readcounts.ATAGAT"	"readcounts.ATATGA"	"readcounts.ATCGAG"	"readcounts.ATCTAT"	"readcounts.ATGTAA"	"readcounts.ATTATC"	"readcounts.ATTGTT"	"readcounts.ATTTTG"	"readcounts.CACCGG"	"readcounts.CAGCGC"	"readcounts.CATAAA"	"readcounts.CATCAG"	"readcounts.CCACGC"	"readcounts.CCCCAC"	"readcounts.CCCGAG"	"readcounts.CCGCAG"	"readcounts.CCGGGT"	"readcounts.CCTCGG"	"readcounts.CGACGG"	"readcounts.CGACTT"	"readcounts.CGCAGG"	"readcounts.CGCCTC"	"readcounts.CGCGTG"	"readcounts.CGGAGC"	"readcounts.CGGCTG"	"readcounts.CGGGTC"	"readcounts.CGTCGC"	"readcounts.CTAAAA"	"readcounts.CTCCGC"	"readcounts.CTCTCC"	"readcounts.CTGGGC"	"readcounts.CTTAAT"	"readcounts.GAAGAC"	"readcounts.GAATAT"	"readcounts.GACGGG"	"readcounts.GAGGGC"	"readcounts.GATTAA"	"readcounts.GCAGGC"	"readcounts.GCCCCT"	"readcounts.GCCGCA"	"readcounts.GCCTGC"	"readcounts.GCGCCA"	"readcounts.GCGGCT"	"readcounts.GCGTGG"	"readcounts.GCTGGG"	"readcounts.GGACAT"	"readcounts.GGCACG"	"readcounts.GGCGCT"	"readcounts.GGGACC"	"readcounts.GGGCGA"	"readcounts.GGGGGT"	"readcounts.GGTCCC"	"readcounts.GTCAAG"	"readcounts.GTCGCG"	"readcounts.GTGGGG"	"readcounts.GTTAAA"	"readcounts.TAAAAC"	"readcounts.TAACAA"	"readcounts.TAATAG"	"readcounts.TACAAA"	"readcounts.TAGAAT"	"readcounts.TATAAG"	"readcounts.TATCAT"	"readcounts.TATTAC"	"readcounts.TCAAAA"	"readcounts.TCCAAC"	"readcounts.TCGCGG"	"readcounts.TCTAAT"	"readcounts.TGAATA"	"readcounts.TGCGCG"	"readcounts.TGGGCC"	"readcounts.TGTATT"	"readcounts.TTAACT"	"readcounts.TTACTA"	"readcounts.TTATCA"	"readcounts.TTCATA"	"readcounts.TTGGAT"	"readcounts.TTGTCC"	"readcounts.TTGTTA"	"readcounts.TTTTAG"
"ENSG00000040608"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000073150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000099957"	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0
"ENSG00000099984"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000099992"	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	1	1	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0
"ENSG00000100031"	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
"ENSG00000100053"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000100060"	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
"ENSG00000100079"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	3	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	1	0	2	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
"ENSG00000100097"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
